TXT_HOUSE_NORTH
11
11
false
wall_wood wall_wood wall_wood wall_wood wall_wood door wall_wood wall_wood wall_wood wall_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
torch_wall floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood torch_wall
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood floor_wood wall_wood
wall_wood floor_wood floor_wood floor_wood floor_stone floor_stone floor_stone floor_wood floor_wood floor_wood wall_wood
wall_wood wall_wood wall_wood wall_wood wall_stone fireplace wall_stone wall_wood wall_wood wall_wood wall_wood
