Hp = Pv %
Mana = Mana %
Armor = Armure %
Soulburn = Seuil %
Flow = Flux %
Vision Range = Champ de Vision %
Vision Power = Acuité %
Detection Range = Détection  %
Experience = Expérience %
Level = Niveau %
Gold = Or %
Type = Type %
Range = Portée %
Weight = Poids %
Value = Valeur %
Capacity = Capacité %
Ammo type = Type de munition %
Power = Puissance %
Power overcharge = Surchage en puissance %
Duration overcharge = Surchage en durée %
Area overcharge = Surchage en zone %
Effects = Effets %
CLASS = CLASSE%
RACE = RACE%
ORIGIN = ORIGINE%
CULTURE = CULTURE%
RELIGION = RELIGION%
PROFESSION = PROFESSION%
CHARACTER = PERSONNAGE%
Name = Nom %
CONFIRM CHARACTER CREATION = CONFIRMER LA CREATION DU PERSONNAGE%
WAITING FOR OTHER PLAYERS... = EN ATTENTE DES AUTRES JOUEURS...%
CONTROLS = CONTRÔLES%
NUMPAD = PAVÉ NUMERIQUE%
MOVE = SE DEPLACER%
ATTACK = ATTAQUER%
REST = SE REPOSER%
OPEN = OUVRIR%
INVENTORY = INVENTAIRE%
RELOAD = RECHARGER%
USE SKILL = UTILISER UNE CAPACITÉ%
SHOOT = TIRER%
LOOT = RAMASSER%
SKILLS = CAPACITÉS%
weapon_type_1 = Épée longue%
weapon_type_2 = Épée courte%
weapon_type_3 = Sabre%
weapon_type_4 = Rapière%
weapon_type_5 = Lance%
weapon_type_6 = Glaive%
weapon_type_7 = Hache%
weapon_type_8 = Marteau de Guerre%
weapon_type_9 = Dague%
weapon_type_10 = Arc%
weapon_type_11 = Arbalète%
weapon_type_12 = Bâton magique%
weapon_type_13 = Fusil%
weapon_type_14 = Pistolet%
weapon_type_15 = Fronde%
ammo_type_1 = Feu%
ammo_type_2 = Foudre%
ammo_type_3 = Air%
ammo_type_4 = Flèche%
ammo_type_5 = Balle%
ammo_type_6 = Spécial%
item_type_0 = Non-équipable%
item_type_1 = Casque%
item_type_2 = Gantelets%
item_type_3 = Cuirasse%
item_type_4 = Bottes%
item_type_5 = Armure intégrale%
item_type_6 = Anneau%
item_type_7 = Amulette%
target_type_1 = Soit%
target_type_2 = Cible%
target_type_3 = Terrain%
overcharge_type_0 = Pas de surcharge%
overcharge_type_1 = Linéaire%
overcharge_type_2 = Quadratique%
overcharge_type_3 = Exponentielle%
